dim,depth,heads,attn_dropout,accuracy,precision,recall,f1,auc,dataset,group
64,3,4,0.1,0.85,1.0,0.6666666666666666,0.8,0.9419191919191918,prnn_crabs,2
16,2,2,0.1,0.9056603773584906,0.25,0.3333333333333333,0.2857142857142857,0.8400000000000001,analcatdata_lawsuit,3
32,4,4,0.2,0.9433962264150944,0.0,0.0,0.0,0.6666666666666666,analcatdata_lawsuit,3
64,3,4,0.1,0.9433962264150944,0.0,0.0,0.0,0.3933333333333333,analcatdata_lawsuit,3
16,2,2,0.1,0.7380952380952381,0.7333333333333333,0.88,0.8,0.8235294117647058,biomed,3
32,4,4,0.2,0.7857142857142857,0.8636363636363636,0.76,0.8085106382978723,0.7835294117647059,biomed,3
64,3,4,0.1,0.6428571428571429,0.625,1.0,0.7692307692307693,0.7811764705882352,biomed,3
16,2,2,0.1,0.7758620689655172,1.0,0.07142857142857142,0.13333333333333333,0.7508116883116883,breast_cancer,3
32,4,4,0.2,0.7586206896551724,0.0,0.0,0.0,0.627435064935065,breast_cancer,3
64,3,4,0.1,0.7586206896551724,0.0,0.0,0.0,0.6647727272727273,breast_cancer,3
16,2,2,0.1,0.7796610169491526,0.7272727272727273,0.9696969696969697,0.8311688311688312,0.8857808857808858,heart_h,3
32,4,4,0.2,0.6949152542372882,0.6470588235294118,1.0,0.7857142857142857,0.8916083916083916,heart_h,3
64,3,4,0.1,0.8305084745762712,0.8108108108108109,0.9090909090909091,0.8571428571428571,0.8962703962703963,heart_h,3
16,2,2,0.1,0.7037037037037037,0.8,0.48,0.6,0.8648275862068966,heart_statlog,3
32,4,4,0.2,0.7592592592592593,0.875,0.56,0.6829268292682927,0.8827586206896552,heart_statlog,3
64,3,4,0.1,0.7962962962962963,0.8888888888888888,0.64,0.7441860465116279,0.8979310344827587,heart_statlog,3
16,2,2,0.1,0.7796610169491526,0.6666666666666666,0.631578947368421,0.6486486486486487,0.8789473684210526,hungarian,3
32,4,4,0.2,0.8135593220338984,0.8333333333333334,0.5263157894736842,0.6451612903225806,0.843421052631579,hungarian,3
64,3,4,0.1,0.8305084745762712,0.8461538461538461,0.5789473684210527,0.6875,0.875,hungarian,3
16,2,2,0.1,0.46,0.0,0.0,0.0,0.35104669887278583,prnn_synth,3
32,4,4,0.2,0.46,0.0,0.0,0.0,0.6497584541062801,prnn_synth,3
64,3,4,0.1,0.56,0.6086956521739131,0.5185185185185185,0.56,0.6457326892109501,prnn_synth,3
16,2,2,0.1,0.7619047619047619,0.8235294117647058,0.6666666666666666,0.7368421052631579,0.8775510204081632,sonar,3
32,4,4,0.2,0.7142857142857143,0.7647058823529411,0.6190476190476191,0.6842105263157895,0.8526077097505669,sonar,3
64,3,4,0.1,0.7619047619047619,0.8235294117647058,0.6666666666666666,0.7368421052631579,0.8798185941043084,sonar,3
16,2,2,0.1,0.7777777777777778,0.7777777777777778,1.0,0.875,0.7371031746031746,spect,3
32,4,4,0.2,0.7777777777777778,0.7777777777777778,1.0,0.875,0.6974206349206349,spect,3
64,3,4,0.1,0.7777777777777778,0.7777777777777778,1.0,0.875,0.7410714285714286,spect,3
16,2,2,0.1,0.36231884057971014,0.36231884057971014,1.0,0.5319148936170213,0.4154545454545454,bupa,4
